	Density	Loading C	Loading Ion	Loading Pt	Mass atten.	Thickness	calc. GSV
27	0.6666666666666666	0.763	0.011	0.226	4.900240073558972	15	15084.011085044755
28	0.6666666666666666	0.786	0.01	0.204	4.450430223816214	15	14775.951312617597
29	0.6666666666666666	0.805	0.009	0.186	4.074658621626384	15	14518.597867997856
30	0.666	0.03	0.03	0.939	19.69802756322639	15	25205.031954657847
31	0.6666666666666666	0.256	0.023	0.721	15.163894357889134	15	22113.245782573
32	0.6666666666666666	0.396	0.019	0.585	12.339067594303188	15	20178.61609308511
33	0.6666666666666666	0.492	0.016	0.492	10.420029648768896	15	18864.33097212019
34	0.6673333333333334	0.562	0.014	0.425	9.029127341067905	15	17917.932093331026
35	0.666	0.614	0.012	0.373	7.9677820200689276	15	17179.411444498393
36	0.6666666666666666	0.656	0.011	0.333	7.128065875033311	15	16609.77471561448
37	0.6666666666666666	0.689	0.01	0.301	6.456233658394574	15	16149.65922484583
38	0.6666666666666666	0.717	0.009	0.274	5.9003263893679385	15	15768.936866531789
39	0.6666666666666666	0.74	0.008	0.252	5.448178142939739	15	15459.275604161328
40	0.666	0.023	0.023	0.953	19.989039629291696	15	25404.137113840126
41	0.6673333333333332	0.208	0.019	0.774	16.240060564667303	15	22861.398421533864
42	0.6666666666666666	0.333	0.016	0.651	13.710729659645779	15	21118.021719569406
43	0.6673333333333334	0.425	0.014	0.562	11.848848056706132	15	19850.995953508576
44	0.6666666666666666	0.494	0.012	0.494	10.459128384575429	15	18891.108392982893
45	0.6666666666666666	0.548	0.011	0.441	9.361522853487333	15	18139.39495159169
46	0.6666666666666666	0.592	0.01	0.398	8.477971052857665	15	17534.27977506712
47	0.6666666666666666	0.628	0.009	0.363	7.747189353259227	15	17033.791748402135
48	0.6666666666666666	0.659	0.008	0.333	7.128817506244719	15	16610.2894827768
49	0.6666666666666666	0.684	0.008	0.308	6.61337998697304	15	16257.283507078268
50	0.6666666666666666	0.019	0.019	0.962	20.15552241906706	15	25531.84545407173
51	0.6673333333333334	0.175	0.016	0.81	16.987916858848983	15	23374.092450723107
52	0.6673333333333332	0.288	0.014	0.699	14.688029327693137	15	21797.401027244996
53	0.666	0.373	0.012	0.614	12.960958971393989	15	20595.652238774488
54	0.6666666666666666	0.441	0.011	0.548	11.572836252182835	15	19653.84978791162
55	0.6666666666666666	0.495	0.01	0.495	10.483397233730976	15	18907.729318807887
56	0.6666666666666666	0.54	0.009	0.451	9.571182355526744	15	18282.983755888417
57	0.6666666666666666	0.577	0.008	0.415	8.829430866920823	15	17774.98288639184
58	0.6666666666666666	0.609	0.008	0.383	8.160643991169312	15	17316.95304808549
59	0.6666666666666666	0.636	0.007	0.357	7.621132498940767	15	16947.459610774567
60	0.6666666666666666	0.016	0.016	0.968	20.28242484269628	15	25618.756693934592
61	0.6673333333333332	0.151	0.014	0.836	17.52670934323153	15	23743.462464540033
62	0.6666666666666666	0.253	0.012	0.735	15.450945761359073	15	22309.83772042945
63	0.6666666666666666	0.333	0.011	0.656	13.818733783374817	15	21191.990143773968
64	0.6666666666666666	0.398	0.01	0.592	12.490738370139166	15	20282.490351762644
65	0.6666666666666666	0.451	0.009	0.54	11.416572930578578	15	19546.830247722246
66	0.6666666666666666	0.496	0.008	0.496	10.49885593903888	15	18918.316470783095
67	0.6673333333333334	0.534	0.008	0.459	9.729884823598493	15	18398.33745997468
68	0.6666666666666666	0.566	0.007	0.427	9.073929504072058	15	17942.43185302215
69	0.6673333333333332	0.595	0.007	0.399	8.491057798271804	15	17549.05769322719
70	0.6673333333333332	0.014	0.014	0.973	20.362846211430664	15	25687.780443277145
71	0.6666666666666666	0.133	0.012	0.855	17.939024408343762	15	24013.839849794364
72	0.6666666666666666	0.226	0.011	0.763	16.03169988477191	15	22707.576861084122
73	0.6666666666666666	0.301	0.01	0.689	14.498312571063344	15	21657.41100283558
74	0.6666666666666666	0.363	0.009	0.628	13.231752101117053	15	20789.985955651697
75	0.6666666666666666	0.415	0.008	0.577	12.179157986738154	15	20069.09933318407
76	0.6673333333333334	0.459	0.008	0.534	11.277335642092808	15	19459.194741351377
77	0.6673333333333332	0.497	0.007	0.497	10.516029535365675	15	18937.28017254856
78	0.6666666666666666	0.529	0.007	0.464	9.837926135644821	15	18465.66767943195
79	0.6666666666666666	0.558	0.006	0.436	9.263557945967921	15	18072.302051928564
80	0.6666666666666666	0.012	0.012	0.976	20.444846969876274	15	25729.994194769264
81	0.6666666666666666	0.118	0.011	0.871	18.26981559382439	15	24240.387706357196
82	0.6666666666666666	0.204	0.01	0.786	16.506933031795	15	23033.048202375336
83	0.6666666666666666	0.274	0.009	0.717	15.077807932489264	15	22054.288059364146
84	0.6666666666666666	0.333	0.008	0.659	13.87917246685668	15	21233.38258346791
85	0.6666666666666666	0.383	0.008	0.609	12.845302275743382	15	20525.319351914117
86	0.6666666666666666	0.427	0.007	0.566	11.950508370500529	15	19912.504832676794
87	0.6666666666666666	0.464	0.007	0.529	11.186613990017477	15	19389.33903462997
88	0.6666666666666666	0.497	0.006	0.497	10.525731749831746	15	18936.722817734768
89	0.6666666666666666	0.526	0.006	0.468	9.921186780750453	15	18522.69011990996
90	0.6666666666666666	0.011	0.011	0.978	20.486483604547693	15	25758.509737967895
91	0.6666666666666666	0.107	0.01	0.883	18.519439778487452	15	24411.34698962677
92	0.6666666666666666	0.186	0.009	0.805	16.902191688897723	15	23303.74768133642
93	0.6666666666666666	0.252	0.008	0.74	15.558156127460059	15	22383.262526493145
94	0.6666666666666666	0.308	0.008	0.684	14.395148490923134	15	21586.757363150224
95	0.6666666666666666	0.357	0.007	0.636	13.402973060026106	15	20907.24948304321
96	0.6673333333333332	0.399	0.007	0.595	12.541137585449913	15	20325.596101449482
97	0.6666666666666666	0.436	0.006	0.558	11.788194368865376	15	19801.341383423598
98	0.6666666666666666	0.468	0.006	0.526	11.123232778202876	15	19345.93135536521
99	0.666	0.497	0.005	0.497	10.532100433349747	15	18933.87143227001
100	0.6666666666666666	0.077	0.846	0.077	0.4173739534385489	15	12013.845508244947
101	0.666	0.478	0.478	0.043	0.33743877625379987	15	11958.869469327123
102	0.666	0.636	0.333	0.03	0.30774016659876147	15	11938.55022111584
103	0.6666666666666666	0.721	0.256	0.023	0.2920526592871307	15	11928.017131257113
104	0.6673333333333334	0.774	0.208	0.019	0.28247894072416174	15	11921.653870947825
105	0.6673333333333334	0.81	0.175	0.016	0.27598411675346796	15	11917.201334415986
106	0.6673333333333332	0.836	0.151	0.014	0.27128943654776483	15	11913.982889202456
107	0.6666666666666666	0.855	0.133	0.012	0.267761081014242	15	11911.380639017287
108	0.6666666666666666	0.871	0.118	0.011	0.2648534756982117	15	11909.389317056515
109	0.6666666666666666	0.883	0.107	0.01	0.262700203249965	15	11907.914612532459
110	0.666	0.043	0.478	0.478	10.014765254960768	15	18579.920118716516
111	0.666	0.333	0.333	0.333	6.999134255236303	15	16516.68027318923
112	0.6666666666666666	0.488	0.256	0.256	5.415576584980149	15	15436.947883833405
113	0.6673333333333332	0.585	0.208	0.208	4.433339485376287	15	14767.282681986924
114	0.6673333333333334	0.651	0.175	0.175	3.7645629147691597	15	14308.8018785498
115	0.6673333333333332	0.699	0.151	0.151	3.276443767755107	15	13974.171048864957
116	0.6673333333333332	0.735	0.133	0.133	2.91239145762398	15	13724.59442944102
117	0.666	0.763	0.118	0.118	2.6138317542493468	15	13516.336114519476
118	0.6666666666666666	0.786	0.107	0.107	2.388808607059132	15	13364.015388021231
119	0.666	0.805	0.097	0.097	2.1901381416298156	15	13226.452655988942
120	0.666	0.03	0.333	0.636	13.187150514393352	15	20750.40837580857
121	0.6666666666666666	0.256	0.256	0.488	10.092630237475554	15	18640.10602863909
122	0.6666666666666666	0.396	0.208	0.396	8.192167391319273	15	17338.542374068194
123	0.6666666666666666	0.492	0.175	0.333	6.897668093144585	15	16451.982954724954
124	0.6673333333333334	0.562	0.151	0.288	5.965702026636613	15	15817.796171770504
125	0.6666666666666666	0.614	0.133	0.253	5.277644718465856	15	15342.482946186648
126	0.6666666666666666	0.656	0.118	0.226	4.9345164771960395	15	15107.485851348994
127	0.6666666666666666	0.689	0.107	0.204	4.282204439271501	15	14660.739080309075
128	0.6666666666666666	0.717	0.097	0.186	4.100390816899818	15	14536.220990800788
129	0.6666666666666666	0.74	0.089	0.171	3.7843085154548373	15	14319.746758617835
130	0.6666666666666666	0.023	0.256	0.721	15.11889461946727	15	22082.42696171915
131	0.6673333333333332	0.208	0.208	0.585	12.260938788772602	15	20133.5053867492
132	0.6666666666666666	0.333	0.175	0.492	10.350373040268853	15	18816.625482845462
133	0.6673333333333332	0.425	0.151	0.425	8.94435415018949	15	17859.81570233877
134	0.6666666666666666	0.494	0.133	0.373	7.889233445577201	15	17131.073012427638
135	0.666	0.548	0.118	0.333	7.044382624869574	15	16547.638384171987
136	0.6666666666666666	0.592	0.107	0.301	6.3918993349835365	15	16105.598791219058
137	0.666	0.628	0.097	0.274	5.8253699657025955	15	15713.61210880034
138	0.6666666666666666	0.659	0.089	0.252	5.3577954498863996	15	15397.375510445532
139	0.6666666666666666	0.684	0.083	0.233	5.003030165904052	15	15154.408592955488
140	0.6673333333333334	0.019	0.208	0.774	16.279975351036875	15	22888.762064532202
141	0.6673333333333334	0.175	0.175	0.651	13.71526161256081	15	21130.51862855887
142	0.6673333333333334	0.288	0.151	0.562	11.870649538816643	15	19865.941992998378
143	0.6666666666666666	0.373	0.133	0.494	10.480348358404058	15	18905.64124572566
144	0.6666666666666666	0.441	0.118	0.441	9.347123494297314	15	18129.533310461087
145	0.6666666666666666	0.495	0.107	0.398	8.478537267328257	15	17534.66755648421
146	0.6666666666666666	0.54	0.097	0.363	7.723553716830708	15	17017.60448886679
147	0.6659999999999999	0.577	0.089	0.333	7.1134014443531015	15	16594.859804320105
148	0.6666666666666666	0.609	0.083	0.308	6.6263114359605595	15	16266.139825441522
149	0.6666666666666666	0.636	0.077	0.287	6.1698697736678305	15	15953.538145659308
150	0.6673333333333334	0.016	0.175	0.81	16.9724461265115	15	23363.486466447357
151	0.6673333333333332	0.151	0.151	0.699	14.639100155971214	15	21763.857558546304
152	0.6666666666666666	0.253	0.133	0.614	12.901951578231785	15	20564.116570878337
